Tecnicas,Design Role,Classe,Método,LOC,CC,Efferent,NOP,Problema de Design
 V ,VIEW,de.tudarmstadt.ukp.clarin.webanno.webapp.page.monitoring.MonitoringPage,createProgressChart,26,4,16,3,Muitos Parametros
" A, R, D, V, X ",UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.brat.util.BratCuratorUtility,getEntityTypes,55,15,19,6,Metodo Longo
 V ,VIEW,de.tudarmstadt.ukp.clarin.webanno.webapp.page.correction.CorrectionPage,onClick,42,8,14,1,Muitos Desvios
" A, R, V, X ",VIEW,de.tudarmstadt.ukp.clarin.webanno.brat.annotation.SpanAnnotationModalWindowPage,onSubmit,56,10,22,2,Metodo Longo
 V ,PANEL,de.tudarmstadt.ukp.clarin.webanno.brat.annotation.BratAnnotator,onClose,16,5,2,1,Muitos Desvios
 V ,VIEW,de.tudarmstadt.ukp.clarin.webanno.webapp.page.curation.CurationPage,onChange,22,5,10,1,Muitos Desvios
 V ,JCASFILEWRITER_IMPLBASE,de.tudarmstadt.ukp.clarin.webanno.tcf.TcfWriter,process,26,3,11,1,Alto Acoplamento Efferent
" A, V ",JCASRESOURCECOLLECTIONREADER_IMPLBASE,de.tudarmstadt.ukp.clarin.webanno.tsv.WebannoTsvReader,convertToCas,19,1,12,3,Alto Acoplamento Efferent
" A, R, V, X ",PANEL,de.tudarmstadt.ukp.clarin.webanno.webapp.dialog.AnnotationPreferenceModalPanel,onSubmit,24,4,17,2,Alto Acoplamento Efferent
 V ,ASARRAYSERIALIZERBASE,de.tudarmstadt.ukp.clarin.webanno.brat.message.BeanAsArraySerializer,serializeContents,31,7,12,3,Metodo Longo
" A, R, V, X ",JCASRESOURCECOLLECTIONREADER_IMPLBASE,de.tudarmstadt.ukp.clarin.webanno.tsv.WebannoTsvReader,createToken,24,4,8,6,Muitos Parametros
 V ,UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.brat.project.ProjectUtil,createProjectLog,8,3,5,3,Muitos Parametros
" A, R, D, V, X ",ENTITY,de.tudarmstadt.ukp.clarin.webanno.crowdflower.NamedEntityTaskManager,generateTask1Data,97,14,20,4,Muitos Desvios
 X ,ENTITY,de.tudarmstadt.ukp.clarin.webanno.model.AnnotationType,setType,3,1,1,1,Muitos Parametros
" A, R, V, X ",JCASRESOURCECOLLECTIONREADER_IMPLBASE,de.tudarmstadt.ukp.clarin.webanno.tsv.WebannoTsvReader,setAnnotations,54,11,15,11,Muitos Parametros
" A, R, D, V, X ",UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.brat.curation.DoubleIterator,step,44,12,6,0,Muitos Desvios
 V ,VIEW,de.tudarmstadt.ukp.clarin.webanno.webapp.dialog.ExportModalWindowPage,load,25,6,12,0,Metodo Longo
 V ,PANEL,de.tudarmstadt.ukp.clarin.webanno.webapp.dialog.AnnotationPreferenceModalPanel,load,13,6,12,0,Muitos Desvios
