Tecnicas,Design Role,Classe,Método,LOC,CC,Efferent,NOP,Problema de Design
 V ,PROCESSOR,org.archive.modules.recrawl.PersistProcessor,copyPersistEnv,24,4,15,2,Metodo Longo
 V ,PROCESSOR,org.archive.modules.extractor.ExtractorJS,shouldExtract,24,7,6,1,Muitos Desvios
 V ,WRITERPOOLMEMBER,org.archive.io.warc.WARCWriter,getStat,8,4,3,3,Muitos Parametros
 V ,PERSISTENCE,org.archive.io.ReplayInputStream,read,18,5,5,3,Muitos Desvios
 V ,CRAWLERJOURNAL,org.archive.crawler.frontier.FrontierJournal,importRecoverLog,23,2,0,2,Metodo Longo
" A, V, X ",TEST,org.archive.crawler.framework.CrawlControllerTest,verifySerialization,2,1,2,4,Muitos Parametros
 V ,URI,org.archive.net.UURI,hasScheme,16,5,3,1,Muitos Desvios
 V ,RESOURCE,org.archive.crawler.restlet.JobRelatedResource,addPresentableNestedNames,40,13,12,3,Muitos Parametros
 V ,PROCESSOR,org.archive.modules.extractor.ExtractorHTML,innerExtract,30,7,9,1,Alto Acoplamento Efferent
 V ,UNDEFINED,org.archive.net.PublicSuffixes,main,26,5,11,1,Muitos Desvios
 V ,ENTITY,org.archive.crawler.spring.SheetOverlaysManager,onApplicationEvent,19,7,10,1,Alto Acoplamento Efferent
 V ,PROCESSOR,org.archive.modules.writer.WARCWriterProcessor,writeRevisitDigest,23,1,9,7,Alto Acoplamento Efferent
 V ,UNDEFINED,org.archive.io.Arc2Warc,main,30,6,12,1,Muitos Desvios
 V ,PROCESSOR,org.archive.modules.extractor.ExtractorDOC,innerExtract,30,4,14,1,Metodo Longo
