Commmit-name,Refactring-name,Refactoring-Type,Code Element Left,Code Element Right,Class After,Class Before,Short Message,Full Message
e47ec1e0da383e683d332da908179925e5278833,Change Parameter Type,CHANGE_PARAMETER_TYPE,[com.zegoggles.smssync.service.BackupQueryBuilder],[com.zegoggles.smssync.service.BackupQueryBuilder]
e47ec1e0da383e683d332da908179925e5278833,Change Parameter Type,CHANGE_PARAMETER_TYPE,[com.zegoggles.smssync.service.BackupQueryBuilder],[com.zegoggles.smssync.service.BackupQueryBuilder]
e47ec1e0da383e683d332da908179925e5278833,Change Parameter Type,CHANGE_PARAMETER_TYPE,[com.zegoggles.smssync.service.BackupQueryBuilder],[com.zegoggles.smssync.service.BackupQueryBuilder]
e47ec1e0da383e683d332da908179925e5278833,Change Variable Type,CHANGE_VARIABLE_TYPE,[com.zegoggles.smssync.service.BackupQueryBuilderTest],[com.zegoggles.smssync.service.BackupQueryBuilderTest]
e47ec1e0da383e683d332da908179925e5278833,Change Variable Type,CHANGE_VARIABLE_TYPE,[com.zegoggles.smssync.contacts.ContactGroupdsTest],[com.zegoggles.smssync.contacts.GroupContactIdsTest]
e47ec1e0da383e683d332da908179925e5278833,Change Variable Type,CHANGE_VARIABLE_TYPE,[com.zegoggles.smssync.contacts.ContactGroupdsTest],[com.zegoggles.smssync.contacts.GroupContactIdsTest]
79f7a970e514aa86bd801a6733eab5f06a538f21,Rename Method,RENAME_METHOD,[com.zegoggles.smssync.preferences.Preferences],[com.zegoggles.smssync.preferences.Preferences]
79f7a970e514aa86bd801a6733eab5f06a538f21,Rename Method,RENAME_METHOD,[com.zegoggles.smssync.preferences.Preferences],[com.zegoggles.smssync.preferences.Preferences]
79f7a970e514aa86bd801a6733eab5f06a538f21,Extract Variable,EXTRACT_VARIABLE,[com.zegoggles.smssync.receiver.SmsBroadcastReceiver],[com.zegoggles.smssync.receiver.SmsBroadcastReceiver]
79f7a970e514aa86bd801a6733eab5f06a538f21,Extract Variable,EXTRACT_VARIABLE,[com.zegoggles.smssync.receiver.SmsBroadcastReceiver],[com.zegoggles.smssync.receiver.SmsBroadcastReceiver]
79f7a970e514aa86bd801a6733eab5f06a538f21,Extract Variable,EXTRACT_VARIABLE,[com.zegoggles.smssync.receiver.SmsBroadcastReceiver],[com.zegoggles.smssync.receiver.SmsBroadcastReceiver]
79f7a970e514aa86bd801a6733eab5f06a538f21,Rename Method,RENAME_METHOD,[com.zegoggles.smssync.service.BackupQueryBuilder],[com.zegoggles.smssync.service.BackupQueryBuilder]
79f7a970e514aa86bd801a6733eab5f06a538f21,Rename Method,RENAME_METHOD,[com.zegoggles.smssync.service.BackupQueryBuilder],[com.zegoggles.smssync.service.BackupQueryBuilder]
79f7a970e514aa86bd801a6733eab5f06a538f21,Extract Method,EXTRACT_OPERATION,[com.zegoggles.smssync.service.BackupTask],[com.zegoggles.smssync.service.BackupTask]
79f7a970e514aa86bd801a6733eab5f06a538f21,Rename Method,RENAME_METHOD,[com.zegoggles.smssync.service.BackupQueryBuilderTest],[com.zegoggles.smssync.service.BackupQueryBuilderTest]
79f7a970e514aa86bd801a6733eab5f06a538f21,Rename Method,RENAME_METHOD,[com.zegoggles.smssync.service.BackupQueryBuilderTest],[com.zegoggles.smssync.service.BackupQueryBuilderTest]
79f7a970e514aa86bd801a6733eab5f06a538f21,Rename Method,RENAME_METHOD,[com.zegoggles.smssync.service.BackupQueryBuilderTest],[com.zegoggles.smssync.service.BackupQueryBuilderTest]
79f7a970e514aa86bd801a6733eab5f06a538f21,Extract Method,EXTRACT_OPERATION,[com.zegoggles.smssync.service.BackupTaskTest],[com.zegoggles.smssync.service.BackupTaskTest]
6d3de292dfc637d1b9ffb1aee0e812dd32d20b28,Rename Parameter,RENAME_PARAMETER,[com.zegoggles.smssync.contacts.ContactAccessorPost20],[com.zegoggles.smssync.contacts.ContactAccessorPost20]
6d3de292dfc637d1b9ffb1aee0e812dd32d20b28,Change Parameter Type,CHANGE_PARAMETER_TYPE,[com.zegoggles.smssync.contacts.ContactAccessorPost20],[com.zegoggles.smssync.contacts.ContactAccessorPost20]
6d3de292dfc637d1b9ffb1aee0e812dd32d20b28,Rename Parameter,RENAME_PARAMETER,[com.zegoggles.smssync.contacts.ContactAccessorPre20],[com.zegoggles.smssync.contacts.ContactAccessorPre20]
